sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,date_collected,notes,,,,
2551,763,clbo,1,2,2.3,0.2,0.01066,,0.0029,,18-May-17,,,,"leaf curling, double for leaf area",
2552,763,clbo,1,3,2.2,0.2,0.00887,,0.0028,,18-May-17,,,,"leaf curling, double for leaf area",
2553,760,CEME,1,1,2.5,0.5,0.01703,,0.00634,,22-May-17,17.5,14,3,,
2554,760,CEME,1,2,2.9,0.6,0.0239,,0.00793,,22-May-17,,,,,
2555,760,CEME,1,3,3.1,0.6,0.03006,,0.01088,,22-May-17,,,,,
2556,760,CEME,2,1,4,0.8,0.06311,,0.01792,,22-May-17,23,15,7,,
2557,760,CEME,2,2,4.2,1,0.05863,,0.01669,,22-May-17,,,,,
2558,760,CEME,2,3,2.2,0.4,0.01799,,0.00494,,22-May-17,,,,,
2559,760,CEME,3,1,2.7,0.5,0.02677,,0.00745,,22-May-17,30,14,6,,
2560,760,CEME,3,2,3.7,0.6,0.05078,,0.01351,,22-May-17,,,,,
2561,760,CEME,3,3,3.9,0.6,0.05145,,0.01455,,22-May-17,,,,,
2562,760,CEME,4,1,3,0.5,0.03008,,0.00795,,22-May-17,24,8,4,,
2563,760,CEME,4,2,2.7,0.4,0.02315,,0.00654,,22-May-17,,,,,
2564,760,CEME,4,3,3.3,0.5,0.02946,,0.00854,,22-May-17,,,,,
2565,760,CEME,5,1,3.9,0.6,0.04426,,0.01222,,22-May-17,23,9,4,,
2566,760,CEME,5,2,3,0.8,0.03346,,0.01002,,22-May-17,,,,,
2567,760,CEME,5,3,3.9,0.6,0.04246,,0.01221,,22-May-17,,,,,
2568,760,clpu,1,1,2.3,0.3,0.01789,,0.00431,,22-May-17,9,9,5,herbivory,
2569,760,clpu,1,2,2.5,0.3,0.02155,,0.00548,,22-May-17,,,,,
2570,760,clpu,1,3,2,0.2,0.0121,,0.00314,,22-May-17,,,,,
2571,760,clpu,2,1,1.5,0.2,0.00878,,0.00223,,22-May-17,7,7.5,7,half of plant,
2572,760,clpu,2,2,1.4,0.3,0.01207,,0.00299,,22-May-17,,,,,
2573,760,clpu,2,3,1.9,0.2,0.01323,,0.00327,,22-May-17,,,,,
2574,760,clpu,3,1,2.5,0.4,0.0255,,0.00773,,22-May-17,13.5,16,9,half of plant,
2575,760,clpu,3,2,2.5,0.4,0.0248,,0.00737,,22-May-17,,,,,
2576,760,clpu,3,3,2.4,0.4,0.02544,,0.00787,,22-May-17,,,,,
2577,760,clpu,4,1,1.8,0.2,0.01027,,0.00274,,22-May-17,7,6.5,6.5,,
2578,760,clpu,4,2,1.7,0.2,0.00879,,0.00237,,22-May-17,,,,,
2579,760,clpu,4,3,1.5,0.2,0.00716,,0.00206,,22-May-17,,,,,
2580,760,clpu,5,1,1.4,0.2,0.00793,,0.0024,,22-May-17,7.5,5.5,3,,
2581,760,clpu,5,2,1.3,0.2,0.00839,,0.00257,,22-May-17,,,,,
2582,760,clpu,5,3,1.3,0.2,0.00591,,0.00184,,22-May-17,,,,,
2583,760,heco,1,1,9,0.8,0.148,,0.04295,,22-May-17,18,10,8,,
2584,760,heco,1,2,6.3,0.6,0.08673,,0.02619,,22-May-17,,,,,
2585,760,heco,1,3,2.8,0.8,0.134,,0.03771,,22-May-17,,,,,
2586,760,heco,2,1,8,0.6,0.11005,,0.0357,,22-May-17,30,14,11,,
2587,760,heco,2,2,8.4,0.9,0.138,,0.04446,,22-May-17,,,,,
2588,760,heco,2,3,5.8,0.5,0.06162,,0.01956,,22-May-17,,,,,
2589,760,heco,3,1,7.5,1,0.1769,,0.05284,,22-May-17,29,14,14,,
2590,760,heco,3,2,7.9,1,0.15981,,0.04691,,22-May-17,,,,,
2591,760,heco,3,3,6.6,0.8,0.1125,,0.03295,,22-May-17,,,,,
2592,760,heco,4,1,10.4,0.9,0.21344,,0.06526,,22-May-17,12.5,15,15,,
2593,760,heco,4,2,8.2,0.8,0.14435,,0.04543,,22-May-17,,,,,
2594,760,heco,4,3,9.3,1,0.229,,0.06467,,22-May-17,,,,,
2595,760,heco,5,1,4.5,0.6,0.05676,,0.01691,,22-May-17,12,11,10,,
2596,760,heco,5,2,4.7,0.6,0.0648,,0.01819,,22-May-17,,,,,
2597,760,heco,5,3,2.8,0.6,0.02983,,0.00881,,22-May-17,,,,,
2598,761,ceme,1,1,3.3,0.6,0.02907,,0.00785,,22-May-17,18,3,3,,
2599,761,ceme,1,2,2.9,0.5,0.02378,,0.00674,,22-May-17,,,,,
2600,761,ceme,1,3,3.5,0.7,0.03183,,0.00803,,22-May-17,,,,,
2601,761,ceme,2,1,2.6,0.6,0.03208,,0.00758,,22-May-17,26,14,10,,
2602,761,ceme,2,2,2.4,0.5,0.02348,,0.00554,,22-May-17,,,,,
2603,761,ceme,2,3,2.6,0.6,0.02317,,0.006,,22-May-17,,,,,
2604,761,ceme,3,1,2.2,0.3,0.01521,,0.00383,,22-May-17,23,11,7,,
2605,761,ceme,3,2,2.5,0.5,0.02313,,0.006,,22-May-17,,,,,
2606,761,ceme,3,3,2,0.5,0.01986,,0.00497,,22-May-17,,,,,
2607,761,ceme,4,1,5.4,0.9,0.0926,,0.02302,,22-May-17,21,9,4,,
2608,761,ceme,4,2,5.9,1.1,0.109,,0.02546,,22-May-17,,,,,
2609,761,ceme,4,3,2.9,0.3,0.02722,,0.00686,,22-May-17,,,,,
2610,761,ceme,5,1,3,0.6,0.0386,,0.00903,,22-May-17,11,12,10,,
2611,761,ceme,5,2,2.8,0.6,0.03944,,0.0098,,22-May-17,,,,,
2612,761,ceme,5,3,3,0.6,0.03933,,0.0099,,22-May-17,,,,,
2613,761,heco,1,1,7,0.8,0.0789,,0.02277,,23-May-17,20,24,14,,
2614,761,heco,1,2,6.5,0.6,0.08682,,0.02744,,23-May-17,,,,,
2615,761,heco,1,3,5.9,0.8,0.08224,,0.02348,,23-May-17,,,,,
2616,761,heco,2,1,6.4,0.6,0.07233,,0.02205,,23-May-17,20,23.5,9.5,using half of plant,
2617,761,heco,2,2,5.5,0.6,0.05473,,0.01396,,23-May-17,,,,,
2618,761,heco,2,3,6,0.7,0.07578,,0.0205,,23-May-17,,,,,
2619,761,heco,3,1,5,1,0.086,,0.02912,,23-May-17,33,30,24,using fourth of plant,
2620,761,heco,3,2,4.4,0.8,0.07361,,0.02587,,23-May-17,,,,,
2621,761,heco,3,3,4.8,0.7,0.05722,,0.02004,,23-May-17,,,,,
2622,761,heco,4,1,7.8,0.6,0.11737,,0.02724,,23-May-17,31,31,19,Using 1/8 of plant,
2623,761,heco,4,2,6.3,0.6,0.06097,,0.01547,,23-May-17,,,,,
2624,761,heco,4,3,5.6,0.6,0.05061,,0.01278,,23-May-17,,,,,
2625,761,heco,5,1,6.4,0.5,0.04781,,0.0127,,23-May-17,10,22,12,using half of plant,
2626,761,heco,5,2,6.8,0.4,0.04606,,0.01381,,23-May-17,,,,,
2627,761,heco,5,3,7,0.4,0.04981,,0.01577,,23-May-17,,,,,
2628,761,clpu,1,1,1.9,0.2,0.01049,,0.00236,,23-May-17,8,8,6,,
2629,761,clpu,1,2,2.1,0.2,0.01425,,0.00349,,23-May-17,,,,,
2630,761,clpu,1,3,1.6,0.2,0.00565,,0.00146,,23-May-17,,,,,
2631,761,clpu,2,1,1.5,0.3,0.01036,,0.00235,,23-May-17,6.5,6,7,,
2632,761,clpu,2,2,2,0.3,0.01051,,0.00233,,23-May-17,,,,,
2633,761,clpu,2,3,1.4,0.2,0.00563,,0.00125,,23-May-17,,,,,
2634,761,clpu,3,1,1.5,0.3,0.00819,,0.00168,,23-May-17,6.5,7,8,,
2635,761,clpu,3,2,1.8,0.3,0.01066,,0.00221,,23-May-17,,,,,
2636,761,clpu,3,3,2.1,0.3,0.01277,,0.00265,,23-May-17,,,,,
2637,761,clpu,4,1,2.1,0.2,0.01236,,0.00283,,23-May-17,8,7.5,7,,
2638,761,clpu,4,2,2,0.2,0.01031,,0.00238,,23-May-17,,,,,
2639,761,clpu,4,3,2,0.3,0.01193,,0.00388,,23-May-17,,,,,
2640,761,lopu,1,1,1.7,1.1,0.02129,,0.00616,,23-May-17,9,6.5,4.5,,
2641,761,lopu,1,2,2,1.1,0.03088,,0.00898,,23-May-17,,,,,
2642,761,lopu,1,3,1.2,1.1,0.01253,,0.00328,,23-May-17,,,,,
2643,761,lopu,2,1,1.1,0.9,0.01348,,0.00451,,23-May-17,7,6,5,,
2644,761,lopu,2,2,1.5,1.1,0.01363,,0.0048,,23-May-17,,,,,
2645,761,lopu,2,3,1,0.9,0.00777,,0.00257,,23-May-17,,,,,
2646,760,naat,1,1,1.1,0.6,0.00707,,0.003,,23-May-17,9,19,8.5,using half of plant,
2647,760,naat,1,2,1.1,0.6,0.00726,,0.00301,,23-May-17,,,,,
2648,760,naat,1,3,1,0.6,0.00694,,0.0029,,23-May-17,,,,,
2649,760,naat,2,1,1,0.6,0.00695,,0.0029,,23-May-17,7,7.5,5.5,using half of plant,
2650,760,naat,2,2,1.2,0.7,0.00805,,0.00301,,23-May-17,,,,,
2651,760,naat,2,3,1.2,0.6,0.00811,,0.00281,,23-May-17,,,,,
2652,760,naat,3,1,1,0.5,0.00541,,0.00201,,23-May-17,12,30,19,using fourth of plant,
2653,760,naat,3,2,1.1,0.6,0.00488,,0.00188,,23-May-17,,,,,
2654,760,naat,3,3,1,0.6,0.00569,,0.00234,,23-May-17,,,,,
2655,760,naat,4,1,1,0.6,0.00506,,0.00212,,23-May-17,9,25,15,using fourth of plant,
2656,760,naat,4,2,1.3,0.7,0.00957,,0.00333,,23-May-17,,,,,
2657,760,naat,4,3,13,0.7,0.01014,,0.00376,,23-May-17,,,,,
2658,761,naat,1,1,1.1,0.6,0.00653,,0.00233,,23-May-17,18,34,42,Using 1/16 of plant,
2659,761,naat,1,2,1.1,0.6,0.00538,,0.00177,,23-May-17,,,,,
2660,761,naat,1,3,1,0.6,0.00631,,0.00228,,23-May-17,,,,,
2661,761,naat,2,1,1.4,0.9,0.01509,,0.00419,,23-May-17,26,46,50,,
2662,761,naat,2,2,1.4,0.9,0.01002,,0.004,,23-May-17,,,,,
2663,761,naat,2,3,1.4,0.8,0.01273,,0.00438,,23-May-17,,,,,
2664,760,lopu,1,1,1,1.1,0.0072,,0.00239,,23-May-17,11,3.5,2,,
2665,760,lopu,1,2,1.7,1.2,0.01579,,0.00506,,23-May-17,,,,,
2666,760,lopu,1,3,0.8,1.1,0.00564,,0.00189,,23-May-17,,,,,
2667,760,lopu,2,1,1.5,2,0.03208,,0.00929,,23-May-17,10,7,6,herbivory on plants,
2668,760,lopu,2,2,1.5,2.3,0.03612,,0.01004,,23-May-17,,,,,
2669,760,lopu,2,3,1.7,2.1,0.03343,,0.00953,,23-May-17,,,,,
2670,760,lopu,3,1,1.2,2,0.02427,,0.00843,,23-May-17,11,6,3,,
2671,760,lopu,3,2,1.3,1.7,0.02539,,0.00842,,23-May-17,,,,,
2672,760,lopu,3,3,1.2,1.7,0.0178,,0.0065,,23-May-17,,,,,
2673,762,naat,1,1,1.5,0.7,0.00832,,0.00244,,23-May-17,5,7,3,,
2674,762,naat,1,2,1.3,0.3,0.00622,,0.00181,,23-May-17,,,,,
2675,762,naat,1,3,1.3,0.6,0.00742,,0.00219,,23-May-17,,,,,
2676,762,lopu,2,1,1.4,1.6,0.02055,,0.00657,,23-May-17,12,14,12,,
2677,762,lopu,2,2,1.3,1.9,0.02013,,0.00687,,23-May-17,,,,,
2678,762,lopu,2,3,1.2,1.9,0.02042,,0.00707,,23-May-17,,,,,
2679,762,lopu,3,1,2,2.2,0.04016,,0.01362,,23-May-17,17,49,37,using quarter of plant,
2680,762,lopu,3,2,1.8,2.2,0.03826,,0.01286,,23-May-17,,,,,
2681,762,lopu,3,3,2,1.7,0.03946,,0.01386,,23-May-17,,,,,
2682,762,lopu,4,1,2.4,2,0.05409,,0.01522,,23-May-17,15,27,23,using half of plant,
2683,762,lopu,4,2,1.8,2.4,0.0543,,0.01505,,23-May-17,,,,,
2684,762,lopu,4,3,1.8,2.3,0.03624,,0.01129,,23-May-17,,,,,
2685,762,lopu,5,1,2.5,2.3,0.07252,,0.02404,,23-May-17,20,87,60,Using 1/16 of plant,
2686,762,lopu,5,2,2.6,2.4,0.06976,,0.02203,,23-May-17,,,,,
2687,762,lopu,5,3,2,2,0.05658,,0.01866,,23-May-17,,,,,
2688,762,ceme,1,1,3.9,0.9,0.05871,,0.01418,,23-May-17,46,35,42,using quarter of plant,
2689,762,ceme,1,2,3.2,0.8,0.04103,,0.01054,,23-May-17,,,,,
2690,762,ceme,1,3,2.6,0.7,0.03739,,0.01046,,23-May-17,,,,,
2691,762,ceme,2,1,2.3,0.8,0.0552,,0.01362,,23-May-17,35,26,19,using half of plant,
2692,762,ceme,2,2,3.8,0.6,0.05026,,0.01209,,23-May-17,,,,,
2693,762,ceme,2,3,3.6,0.6,0.04269,,0.01099,,23-May-17,,,,,
2694,762,ceme,3,1,3.4,0.6,0.0481,,0.01073,,23-May-17,38,48,38,using half of plant,
2695,762,ceme,3,2,3.2,0.6,0.04013,,0.00998,,23-May-17,,,,,
2696,762,ceme,3,3,3.5,0.6,0.04094,,0.00897,,23-May-17,,,,,
2697,762,ceme,4,1,4.3,1.2,0.10098,,0.0244,,23-May-17,,,,,
2698,762,ceme,4,2,4.4,1,0.10185,,0.0241,,23-May-17,,,,,
2699,762,ceme,4,3,4,1,0.0836,,0.01927,,23-May-17,,,,,
2700,762,clpu,1,1,3.7,0.6,0.04895,,,,23-May-17,50,50,40,using quarter of plant,
2701,762,clpu,1,2,2.9,0.6,0.03136,,,,23-May-17,,,,,
2702,762,clpu,1,3,3.7,0.5,0.04506,,,,23-May-17,,,,,
2703,762,clpu,2,1,3.5,0.7,0.0593,,,,23-May-17,12,13,10,,
2704,762,clpu,2,2,3.6,0.7,0.06392,,,,23-May-17,,,,,
2705,762,clpu,2,3,3.4,0.7,0.06093,,,,23-May-17,,,,,
2706,762,clpu,3,1,3.5,0.5,0.03464,,,,23-May-17,49,55,40,using fourth of plant,
2707,762,clpu,3,2,3.3,0.4,0.02993,,,,23-May-17,,,,,
2708,762,clpu,3,3,2.8,0.3,0.02432,,,,23-May-17,,,,,
2709,762,clpu,4,1,2.9,0.5,0.02819,,,,23-May-17,19,25,10,using half of plant,
2710,762,clpu,4,2,3.3,0.5,0.03589,,,,23-May-17,,,,,
2711,762,clpu,4,3,3.1,0.5,0.02892,,,,23-May-17,,,,,
2712,762,clpu,5,1,3.5,0.5,0.03021,,,,23-May-17,54,60,57,Using 1/16 of plant,
2713,762,clpu,5,2,3.7,0.5,0.03819,,,,23-May-17,,,,,
2714,762,clpu,5,3,3.2,0.5,0.04158,,,,23-May-17,,,,,
2715,comp,heco,1,1,11,1.6,0.33401,,0.07112,,25-May-17,13,20,21,,
2716,comp,heco,1,2,12.5,19,0.443,,0.09161,,25-May-17,,,,,
2717,comp,heco,1,3,13,1.9,0.4754,,0.09994,,25-May-17,,,,,
2718,comp,heco,2,1,11.7,1.8,0.4853,,0.08774,,25-May-17,27,22,26,,
2719,comp,heco,2,2,13.1,1.6,0.511,,0.09637,,25-May-17,,,,,
2720,comp,heco,2,3,14.6,2.2,0.745,,0.13439,,25-May-17,,,,,
2721,comp,heco,3,1,12.9,1.6,0.44,,0.08369,,25-May-17,30,30,22,using half of plant,
2722,comp,heco,3,2,14,1.6,0.539,,0.09557,,25-May-17,,,,,
2723,comp,heco,3,3,16.7,2.1,1.02946,,0.1542,,25-May-17,,,,,
2724,comp,heco,4,1,11.8,1.2,0.36041,,0.06294,,25-May-17,26,21,17,,
2725,comp,heco,4,2,11.6,1.1,0.3305,,0.06102,,25-May-17,,,,,
2726,comp,heco,4,3,11,1.1,0.26256,,0.04859,,25-May-17,,,,,
2727,comp,heco,5,1,11.7,1.6,0.37051,,0.06485,,25-May-17,10,21,18,,
2728,comp,heco,5,2,10.5,1.3,0.30211,,0.05386,,25-May-17,,,,,
2729,comp,heco,5,3,9.6,1.3,0.23562,,0.041,,25-May-17,,,,,
2730,743,naat,1,1,0.9,0.5,0.00321,,0.00122,,25-May-17,6,11,6,,
2731,743,naat,1,2,0.7,0.5,0.00266,,0.00106,,25-May-17,,,,,
2732,743,naat,1,3,1.1,0.6,0.00721,,0.00281,,25-May-17,,,,,
2733,743,naat,2,1,1.1,0.7,0.00549,,0.00227,,25-May-17,4,5,3,,
2734,743,naat,2,2,0.7,0.5,0.00287,,0.00129,,25-May-17,,,,,
2735,743,naat,2,3,1.1,0.7,0.00617,,0.00256,,25-May-17,,,,,
2736,743,naat,3,1,1,0.5,0.00532,,0.00155,,25-May-17,9,10,6,,
2737,743,naat,3,2,1,0.5,0.00455,,0.00145,,25-May-17,,,,,
2738,743,naat,3,3,1.1,0.5,0.00486,,0.00192,,25-May-17,,,,,
2739,743,naat,4,1,1.2,0.5,0.00576,,0.00217,,25-May-17,8,9,9,using half of plant,
2740,743,naat,4,2,1.2,0.5,0.00799,,0.00238,,25-May-17,,,,,
2741,743,naat,4,3,3,0.6,0.00895,,0.00269,,25-May-17,,,,,
2742,743,naat,5,1,1,0.5,0.0059,,0.00205,,25-May-17,10,13,12,using half of plant,
2743,743,naat,5,2,1,0.5,0.00673,,0.00234,,25-May-17,,,,,
2744,743,naat,5,3,1.1,0.5,0.00863,,0.00281,,25-May-17,,,,,
2745,745,heco,1,1,6.6,0.8,0.0998,,0.02898,,25-May-17,22,12,10,,
2746,745,heco,1,2,5.6,0.6,0.07362,,0.02261,,25-May-17,,,,,
2747,745,heco,1,3,4.7,0.6,0.05993,,0.01827,,25-May-17,,,,,
2748,745,heco,2,1,6.1,0.5,0.10124,,0.02985,,25-May-17,7,7,6,,
2749,745,heco,2,2,7,0.5,0.10396,,0.03001,,25-May-17,,,,,
2750,745,heco,2,3,4.7,0.4,0.0377,,0.01131,,25-May-17,,,,,
2751,745,heco,3,1,6.4,0.6,0.0826,,0.02444,,25-May-17,16,10,9,,
2752,745,heco,3,2,5.9,0.6,0.0758,,0.02334,,25-May-17,,,,,
2753,745,heco,3,3,4.3,0.5,0.04368,,0.0142,,25-May-17,,,,,
2754,745,heco,4,1,4.5,0.5,0.04698,,0.01506,,25-May-17,10,9,7,,
2755,745,heco,4,2,4.4,0.5,0.04877,,0.01475,,25-May-17,,,,,
2756,745,heco,4,3,6,0.6,0.08385,,0.02705,,25-May-17,,,,,
2757,745,heco,5,1,4.5,0.5,0.05899,,0.01982,,25-May-17,19,7,6,,
2758,745,heco,5,2,4.9,0.5,0.051,,0.01662,,25-May-17,,,,,
2759,745,heco,5,3,5.2,0.6,0.0735,,0.02494,,25-May-17,,,,,
2760,745,naat,1,1,1.4,0.5,0.00513,,0.00152,,25-May-17,6,8,5,,
2761,745,naat,1,2,0.9,0.6,0.00397,,0.00166,,25-May-17,,,,,
2762,745,naat,1,3,1,0.6,0.00616,,0.00258,,25-May-17,,,,,
2763,745,naat,2,1,1.1,0.6,0.00691,,0.00318,,25-May-17,5,7,5,,
2764,745,naat,2,2,0.9,0.5,0.00375,,0.00155,,25-May-17,,,,,
2765,745,naat,2,3,1.1,0.5,0.00765,,0.00324,,25-May-17,,,,,
2766,745,naat,3,1,1,0.5,0.00413,,0.00161,,25-May-17,7,9,6,using half of plant,
2767,745,naat,3,2,1.1,0.5,0.00427,,0.00147,,25-May-17,,,,,
2768,745,naat,3,3,0.9,0.5,0.00349,,0.00153,,25-May-17,,,,,
2769,745,naat,4,1,1,0.4,0.00358,,0.00141,,25-May-17,2,4,4,,
2770,745,naat,4,2,1,0.4,0.00331,,0.00124,,25-May-17,,,,,
2771,745,naat,4,3,1,0.4,0.00334,,0.00117,,25-May-17,,,,,
2772,745,naat,5,1,1,0.5,0.00617,,0.00225,,25-May-17,5,7,6,,
2773,745,naat,5,2,1.1,0.6,0.00514,,0.00204,,25-May-17,,,,,
2774,745,naat,5,3,1.1,0.6,0.00697,,0.00295,,25-May-17,,,,,
2775,745,lopu,1,1,0.6,1,0.01249,,0.00343,,25-May-17,5,4,2,,
2776,745,lopu,1,2,0.7,1.1,0.01342,,0.00386,,25-May-17,,,,,
2777,745,lopu,1,3,0.8,1.3,0.01634,,0.00478,,25-May-17,,,,,
2778,743,lopu,1,1,0.8,1,0.00758,,0.00258,,25-May-17,5,1,1,,
2779,743,lopu,1,2,0.8,1,0.00622,,0.00223,,25-May-17,,,,,
2780,743,lopu,1,3,0.6,0.9,0.00386,,0.00129,,25-May-17,,,,,
2781,743,heco,1,1,7.9,0.6,0.10131,,0.03131,,25-May-17,19,22,22,,
2782,743,heco,1,2,7,0.6,0.07851,,0.02435,,25-May-17,,,,,
2783,743,heco,1,3,5,0.5,0.06549,,0.01945,,25-May-17,,,,,
2784,743,heco,2,1,5.4,0.5,0.05868,,0.01689,,25-May-17,,,,,
2785,743,heco,2,2,5.5,0.6,0.06457,,0.01902,,25-May-17,,,,,
2786,743,heco,2,3,4,0.5,0.03741,,0.0011,,25-May-17,,,,,
2787,743,heco,3,1,7.6,0.9,0.14318,,0.04686,,25-May-17,,,,,
2788,743,heco,3,2,7,0.6,0.08107,,0.02697,,25-May-17,,,,,
2789,743,heco,3,3,4,0.6,0.04071,,0.01447,,25-May-17,,,,,
2790,743,heco,4,1,4,0.5,0.04983,,0.01424,,25-May-17,13,19,15,,
2791,743,heco,4,2,5.9,0.7,0.10308,,0.02968,,25-May-17,,,,,
2792,743,heco,4,3,3.5,0.5,0.03758,,0.01019,,25-May-17,,,,,
2793,743,heco,5,1,8,0.8,0.11649,,0.03679,,25-May-17,12,15,14,,
2794,743,heco,5,2,4,0.6,0.04812,,0.01733,,25-May-17,,,,,
2795,743,heco,5,3,6.2,0.8,0.08981,,0.03159,,25-May-17,,,,,
2796,758,lopu,1,1,4,5.5,0.11052,,0.02544,,31-May-17,37,38,38,,
2797,758,lopu,1,2,2.8,5.1,0.10717,,0.02375,,31-May-17,,,,,
2798,758,lopu,1,3,3.2,4.7,0.08149,,0.01843,,31-May-17,,,,,
2799,758,lopu,2,1,1.4,1.7,0.01218,,0.00384,,31-May-17,26,7,6,,
2800,758,lopu,2,2,1.7,2.4,0.01672,,0.00551,,31-May-17,,,,,
2801,758,lopu,2,3,1.5,2.4,0.01563,,0.00468,,31-May-17,,,,,
2802,758,lopu,3,1,2,3,0.02567,,0.00662,,31-May-17,20,8,6,,
2803,758,lopu,3,2,2.2,3,0.02647,,0.00714,,31-May-17,,,,,
2804,758,lopu,3,3,2.2,3,0.0212,,0.00564,,31-May-17,,,,,
2805,758,lopu,4,1,2.8,3.7,0.04937,,0.01238,,31-May-17,29,17,9,using half of plant,
2806,758,lopu,4,2,3,4.8,0.05455,,0.01414,,31-May-17,,,,,
2807,758,lopu,4,3,2.6,3.3,0.03627,,0.00932,,31-May-17,,,,,
2808,758,lopu,5,1,2.2,3,0.03583,,0.00955,,31-May-17,19,20,5,,
2809,758,lopu,5,2,2.1,3,0.03281,,0.00835,,31-May-17,,,,,
2810,758,lopu,5,3,1.5,2.3,0.02126,,0.00541,,31-May-17,,,,,
2811,759,naat,1,1,1.2,2.1,0.00898,,0.00223,,31-May-17,10,4,4,,
2812,759,naat,1,2,2.4,1.4,0.014,,0.00288,,31-May-17,,,,,
2813,759,naat,1,3,1.6,0.9,0.00796,,0.00216,,31-May-17,,,,,
2814,759,naat,2,1,1.9,1.1,0.00956,,0.00286,,31-May-17,12,4,4,,
2815,759,naat,2,2,2.2,1.4,0.01248,,0.00332,,31-May-17,,,,,
2816,759,naat,2,3,1.6,1.1,0.00715,,0.00262,,31-May-17,,,,,
2817,759,heco,1,1,5.7,0.4,0.02047,,0.00223,,31-May-17,21,3,2,,
2818,759,heco,1,2,5.8,0.4,0.02127,,0.00288,,31-May-17,,,,,
2819,759,heco,1,3,3,0.3,0.00841,,0.00216,,31-May-17,,,,,
2820,759,heco,2,1,4.9,0.3,0.02095,,0.00286,,31-May-17,21,18,17,,
2821,759,heco,2,2,8.5,0.5,0.05634,,0.00332,,31-May-17,,,,,
2822,759,heco,2,3,5,0.5,0.03005,,0.00262,,31-May-17,,,,,
2823,759,heco,3,1,13.3,0.5,0.10628,,0.00638,,31-May-17,10,15,2,,
2824,759,heco,3,2,13.9,0.11365,0.11365,,0.00262,,31-May-17,,,,,
2825,759,heco,3,3,NA,NA,NA,,NA,,31-May-17,,,,,
2826,759,clbo,1,1,3,0.3,0.00957,,0.00282,,31-May-17,35,12,6,,
2827,759,clbo,1,2,3.3,0.3,0.00848,,0.0026,,31-May-17,,,,,
2828,759,clbo,1,3,4.2,0.4,0.01266,,0.00363,,31-May-17,,,,,
2829,759,clbo,2,1,2.5,0.2,0.00588,,0.00114,,31-May-17,29,4,2,,
2830,759,clbo,2,2,4.9,0.3,0.01808,,0.00389,,31-May-17,,,,,
2831,759,clbo,2,3,2.7,0.2,0.00694,,0.00163,,31-May-17,,,,,
2832,759,clbo,3,1,4.5,0.6,0.01788,,0.00404,,31-May-17,51,18,3,,
2833,759,clbo,3,2,4.1,0.4,0.01551,,0.0037,,31-May-17,,,,,
2834,759,clbo,3,3,3.7,0.4,0.01333,,0.00317,,31-May-17,,,,,
2835,759,clbo,5,1,4.4,0.4,0.01144,,0.00247,,31-May-17,21,7,2,,
2836,759,clbo,5,2,2.8,0.3,0.00595,,0.00138,,31-May-17,,,,,
2837,759,clbo,5,3,2.6,0.3,0.00507,,0.00112,,31-May-17,,,,,
2838,759,lopu,1,1,2.2,3.4,0.03698,,0.0088,,31-May-17,24,8,6,,
2839,759,lopu,1,2,2.4,3.2,0.04089,,0.0098,,31-May-17,,,,,
2840,759,lopu,1,3,2,3,0.03988,,0.0097,,31-May-17,,,,,
2841,759,lopu,2,1,2.7,3.4,0.04572,,0.0106,,31-May-17,29,28,10,,
2842,759,lopu,2,2,3.2,4,0.06798,,0.0155,,31-May-17,,,,,
2843,759,lopu,2,3,3.3,4.1,0.06673,,0.0157,,31-May-17,,,,,
2844,759,lopu,3,1,2,2.7,0.02541,,0.0067,,31-May-17,23,10,6,,
2845,759,lopu,3,2,1.6,2.6,0.01876,,0.005,,31-May-17,,,,,
2846,759,lopu,3,3,2,2.7,0.02489,,0.0067,,31-May-17,,,,,
2847,759,lopu,4,1,2,3.1,0.03454,,0.0113,,31-May-17,20,10,10,,
2848,759,lopu,4,2,2.2,3.5,0.04111,,0.0132,,31-May-17,,,,,
2849,759,lopu,4,3,2.2,3.4,0.04064,,0.0129,,31-May-17,,,,,
2850,759,lopu,5,1,3,3.8,0.04058,,0.0125,,31-May-17,33,34,18,,
2851,759,lopu,5,2,2.4,3.4,0.03081,,,,31-May-17,,,,,
2852,759,lopu,5,3,2.2,3,0.0202,,,,31-May-17,,,,,
2853,758,clpu,1,1,4.3,0.5,0.03562,,0.00902,,31-May-17,38,4,5,,
2854,758,clpu,1,2,4.1,0.5,0.03309,,0.00876,,31-May-17,,,,,
2855,758,clpu,1,3,4,0.5,0.03307,,0.00864,,31-May-17,,,,,
2856,758,clpu,2,1,4.7,0.6,0.03904,,0.00914,,31-May-17,35,6,5,,
2857,758,clpu,2,2,4.1,0.5,0.03224,,0.00792,,31-May-17,,,,,
2858,758,clpu,2,3,3.3,0.5,0.02484,,0.0063,,31-May-17,,,,,
2859,758,clpu,3,1,4.7,0.7,0.04568,,0.0104,,31-May-17,21,8,8,,
2860,758,clpu,3,2,4.4,0.6,0.04121,,0.0095,,31-May-17,,,,,
2861,758,clpu,3,3,3.3,0.3,0.02383,,0.0057,,31-May-17,,,,,
2862,758,clpu,4,1,3.9,0.4,0.02322,,0.0066,,31-May-17,21,6,6,,
